"Timestamp","Age","Gender","Country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","comments"
2025-03-10 10:10:19,29,"Male","Japan",NA,"No","No","No","Never","More than 1000","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","Maybe","No","No","Some of them","No","Maybe","Don't know","No",NA
2025-03-10 10:15:36,36,"Female","United States","NY","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Not sure","No","No","Don't know","Somewhat difficult","Yes","No","Some of them","No","No","Maybe","No","Yes",NA
2025-03-10 10:20:58,24,"M","Netherlands",NA,"No","No","No","Rarely","6-25","Yes","Yes","No","No","No","No","Yes","Very easy","No","No","Some of them","Yes","Maybe","Yes","Yes","No",NA
2025-03-10 10:25:14,48,"Male","United Kingdom",NA,"No","No","Yes","Sometimes","100-500","No","No","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","No","Yes","Yes","No","No","Don't know","No",NA
2025-03-10 10:30:42,26,"female","India","DL","No","Yes","No","Often","6-25","No","Yes","No","No","No","No","Don't know","Very difficult","Yes","Maybe","No","No","No","No","No","Yes",NA
2025-03-10 10:35:59,39,"Male","Singapore",NA,"Yes","No","Yes","Sometimes","26-100","Yes","Yes","Don't know","Not sure","No","No","Yes","Somewhat difficult","No","No","Some of them","Some of them","No","Maybe","Don't know","No",NA
2025-03-10 10:40:11,21,"Male","South Korea",NA,"No","No","No","Never","More than 1000","No","Yes","No","No","Don't know","Don't know","Don't know","Don't know","Maybe","No","No","No","No","Maybe","No","No",NA
2025-03-10 10:45:27,52,"F","Canada",NA,"No","Yes","Yes","Rarely","500-1000","No","No","Yes","Yes","Yes","Don't know","Don't know","Somewhat easy","No","No","Some of them","Yes","No","No","Yes","No",NA
2025-03-10 10:50:44,30,"male","Mexico",NA,"No","No","Yes","Sometimes","6-25","Yes","Yes","Don't know","No","No","No","Don't know","Don't know","Yes","No","Yes","Yes","Maybe","Yes","Don't know","No",NA
2025-03-10 10:55:02,37,"Female","India","KA","No","Yes","Yes","Often","26-100","No","Yes","Yes","Not sure","No","No","Yes","Very difficult","Maybe","Maybe","Some of them","No","No","Maybe","No","Yes",NA
2025-03-10 11:00:18,23,"Male","Poland",NA,"No","No","No","Never","1-5","Yes","Yes","No","No","No","No","Don't know","Very easy","No","No","Some of them","Yes","No","No","Yes","No",NA
2025-03-10 11:05:35,44,"male","United States","TX","Yes","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","Yes","Yes","Don't know","Somewhat easy","No","No","Yes","Yes","No","No","Don't know","No",NA
2025-03-10 11:10:51,32,"Female","Sweden",NA,"No","No","Yes","Rarely","26-100","No","Yes","Don't know","Not sure","Don't know","Don't know","Yes","Somewhat difficult","Yes","No","No","Some of them","No","Maybe","No","No",NA
2025-03-10 11:15:09,19,"M","India","GJ","No","Yes","No","Often","6-25","Yes","Yes","No","No","No","No","Don't know","Very difficult","Maybe","Maybe","No","No","No","No","Don't know","Yes",NA
2025-03-10 11:20:26,35,"Female","Germany",NA,"No","No","Yes","Sometimes","More than 1000","No","No","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Some of them","Yes","Maybe","Maybe","Yes","No",NA
2025-03-10 11:25:43,40,"Male","United Kingdom",NA,"Yes","Yes","No",NA,"26-100","Yes","Yes","No","No","No","No","Yes","Don't know","Yes","No","Some of them","Some of them","No","Maybe","Don't know","No",NA
2025-03-10 11:30:01,26,"f","Ireland",NA,"No","No","Yes","Sometimes","6-25","No","Yes","Don't know","Not sure","No","No","Don't know","Somewhat easy","No","No","Yes","Yes","No","No","Yes","No",NA
2025-03-10 11:35:17,55,"Male","Australia",NA,"No","No","No","Never","500-1000","No","Yes","Yes","Yes","Don't know","Don't know","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","No",NA
2025-03-10 11:40:34,29,"Female","India","AP","No","Yes","Yes","Often","26-100","Yes","Yes","No","No","No","No","Don't know","Very difficult","Yes","Yes","No","No","No","No","No","Yes",NA
2025-03-10 11:45:52,42,"male","United States","WA","No","No","Yes","Sometimes","100-500","No","Yes","Yes","Not sure","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Some of them","No","Maybe","Yes","No",NA
2025-03-10 11:50:08,20,"Male","Finland",NA,"No","No","No","Rarely","1-5","Yes","Yes","Don't know","No","No","No","Don't know","Very easy","No","No","Yes","Yes","Maybe","Yes","Don't know","No",NA
2025-03-10 11:55:25,46,"F","Canada",NA,"Yes","Yes","Yes","Often","More than 1000","No","No","Yes","Yes","Yes","Yes","Don't know","Somewhat difficult","Maybe","No","No","No","No","No","No","No",NA
2025-03-10 12:00:41,33,"Male","India","RJ","No","No","No",NA,"6-25","No","Yes","No","No","No","No","Yes","Don't know","Yes","Maybe","Some of them","Yes","No","Maybe","Don't know","Yes",NA
2025-03-10 12:05:58,27,"female","Spain",NA,"No","Yes","Yes","Sometimes","26-100","Yes","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Somewhat easy","No","No","Yes","Some of them","No","No","Yes","No",NA
2025-03-10 12:10:14,50,"Male","New Zealand",NA,"No","No","Yes","Rarely","100-500","No","Yes","Yes","Yes","No","No","Yes","Very easy","No","No","Some of them","Yes","No","No","Don't know","No",NA
2025-03-10 12:15:31,24,"Male","India","WB","No","Yes","No","Often","6-25","Yes","Yes","No","No","No","No","Don't know","Very difficult","Maybe","No","No","No","No","Maybe","No","Yes",NA
2025-03-10 12:20:48,36,"Female","United States","IL","No","No","Yes","Sometimes","500-1000","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Yes","Yes","No","No","Yes","No",NA
2025-03-10 12:25:05,43,"m","Switzerland",NA,"Yes","No","No","Never","26-100","No","No","Don't know","Not sure","No","No","Don't know","Don't know","Yes","No","Some of them","Some of them","No","Maybe","Don't know","No",NA
2025-03-10 12:30:22,31,"Female","India","TG","No","Yes","Yes","Often","100-500","Yes","Yes","No","No","No","No","Yes","Very difficult","Maybe","Maybe","No","No","No","No","No","Yes",NA
2025-03-10 12:35:38,18,"Male","Denmark",NA,"No","No","No","Rarely","1-5","Yes","Yes","Don't know","No","Don't know","Don't know","Don't know","Very easy","No","No","Yes","Yes","Maybe","Yes","Yes","No",NA
2025-03-10 12:40:55,47,"Male","United Kingdom",NA,"No","Yes","Yes","Sometimes","More than 1000","No","No","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","No","Don't know","No",NA
2025-03-10 12:45:12,22,"female","India","KL","No","No","Yes","Often","6-25","No","Yes","Don't know","Not sure","No","No","Don't know","Somewhat difficult","Yes","No","Some of them","No","No","Maybe","No","No",NA
2025-03-10 12:50:28,38,"M","Italy",NA,"Yes","No","No",NA,"26-100","Yes","Yes","No","No","No","No","Yes","Don't know","No","No","No","Some of them","No","No","Don't know","Yes",NA
2025-03-10 12:55:45,25,"Male","United States","MA","No","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","No","Don't know","Very easy","Maybe","No","Yes","Yes","No","No","Yes","No",NA
2025-03-10 13:00:02,53,"Female","Canada",NA,"No","No","No","Never","500-1000","No","No","Don't know","No","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","Maybe","Don't know","No",NA
2025-03-10 13:05:18,30,"male","India","UP","No","Yes","Yes","Rarely","6-25","Yes","Yes","No","No","No","No","Don't know","Somewhat easy","Yes","Maybe","No","No","No","No","No","Yes",NA
2025-03-10 13:10:35,35,"Female","Norway",NA,"No","No","Yes","Sometimes","26-100","No","Yes","Yes","Not sure","Yes","Yes","Yes","Somewhat difficult","No","No","Some of them","Some of them","No","Maybe","Yes","No",NA
2025-03-10 13:15:52,28,"Male","India","HR","No","No","No","Often","More than 1000","No","Yes","Don't know","No","No","No","Don't know","Very difficult","Maybe","No","Yes","No","No","No","No","No",NA
2025-03-10 13:20:08,40,"f","United States","OR","Yes","Yes","Yes","Sometimes","100-500","Yes","Yes","Yes","Yes","No","No","Yes","Very easy","No","No","Yes","Yes","No","No","Don't know","No",NA
2025-03-10 13:25:25,23,"Male","Czech Republic",NA,"No","No","No","Never","1-5","Yes","Yes","No","No","Don't know","Don't know","Don't know","Somewhat easy","No","No","Some of them","Yes","Maybe","Yes","Don't know","No",NA
